,Time,r,theta
231,231,146.46375812386265,-2.6109729637993655
232,232,145.8846256618954,-2.617852429528919
233,233,145.29894862805844,-2.625001568401135
234,234,144.71108793872276,-2.6323504950506713
235,235,144.31561213518896,-2.637388612237742
236,236,143.71759941752856,-2.645152873204323
237,237,143.31751093382752,-2.650448466577439
238,238,142.71560498691812,-2.658574502579248
239,239,142.11974825270437,-2.666816406192015
240,240,141.7285320995749,-2.6723400654016363
241,241,141.14216251791672,-2.680794690789275
242,242,140.7493916887475,-2.686581113956077
243,243,140.15822568775323,-2.69548707296072
244,244,139.56818339004306,-2.7046254423628047
245,245,138.97761707814342,-2.7140384573203162
246,246,138.58539774388169,-2.720446991187401
247,247,137.99997522931392,-2.730259580332301
248,248,137.41744827801128,-2.7403390193627883
249,249,137.03635601769568,-2.747114953186153
250,250,136.46342561583486,-2.7575936526761953
251,251,135.89861163035124,-2.7682940363943698
252,252,135.34006109461546,-2.7792703073303073
253,253,134.78983375420825,-2.7905042318101674
254,254,134.42855940956795,-2.798128426885605
255,255,133.895617899051,-2.8097688156748375
256,256,133.37394143210525,-2.821663289174704
257,257,132.86501968999374,-2.8338012033888447
258,258,132.36953575572736,-2.846190620921905
259,259,131.88878657797187,-2.858824613814985
260,260,131.42364222311133,-2.8717070759794487
261,261,130.97858778192398,-2.8847339423207696
262,262,130.54811453904907,-2.898095379693035
263,263,130.1362423013996,-2.911707048115924
264,264,129.7480739993125,-2.925421373373404
265,265,129.37694976496823,-2.9395091588187863
266,266,129.02799204543737,-2.95382945014548
267,267,128.70564510237767,-2.968221762948707
268,268,128.40385567137398,-2.98300145589236
269,269,128.12884435887952,-2.997924962270396
270,270,127.81224001561624,-3.0175421325479017
271,271,127.60485109454864,-3.032493457306735
272,272,127.42665988785903,-3.0474351983882246
273,273,127.28139952252926,-3.0619305397472694
274,274,127.1703920374448,-3.0754424407610608
275,275,127.08454491903383,-3.0886560953664
276,276,127.02189573560771,-3.1016691450679508
277,277,126.98341217905734,-3.113641777450945
278,278,126.96352765756895,-3.121530079280164
279,279,126.9212600276212,-3.133011128866931
280,280,126.8322590838466,3.1387029744899393
281,281,126.68473774336232,3.1272984542596
282,282,126.46971829112476,3.116012856247338
283,283,126.28574063137708,3.108566069125203
284,284,125.94670674808414,3.0975380103231713
285,285,125.55231178596725,3.0871905085959055
286,286,125.0813120300018,3.076911174163601
287,287,124.71650349757743,3.069982924327804
288,288,124.10903147769541,3.0598285129164395
289,289,123.43136471938492,3.04998293483592
290,290,122.6902640517996,3.040504026008689
291,291,122.21808740069963,3.034980809393933
292,292,121.44306729029631,3.026692459815514
293,293,120.6107165004769,3.018689546952051
294,294,120.10325377497281,3.0141778754428223
295,295,119.24043762315459,3.0070642479970777
296,296,118.36762956249044,3.0005104606409034
297,297,117.8324750293304,2.9967745593558694
298,298,116.95003020504667,2.991092539398751
299,299,116.06887827297349,2.985955482539402
300,300,115.48111726521658,2.982835797990412
301,301,114.60039207071534,2.978618042629484
302,302,114.01738008605369,2.9761241929370037
303,303,113.16946532586336,2.9729134183298354
304,304,112.30354581432755,2.970058491323676
305,305,111.46115365975398,2.9676451349445734
306,306,110.90574543791006,2.9663917277475482
307,307,110.08955220157982,2.9649032583739214
308,308,109.34637456375333,2.964021353157751
309,309,108.60526140732155,2.963318416236416
310,310,108.10813019293828,2.9630466627115126
311,311,107.155789264986,2.9630760503487528
312,312,106.69393855926396,2.963118652540722
313,313,106.02417892413865,2.9631055231357375
314,314,105.37470449312906,2.9630986863621955
315,315,104.80460692071343,2.9630947070911535
316,316,104.19238219096043,2.9630682026873485
317,317,103.59041934546705,2.9630341789887207
318,318,103.19555023820149,2.9630318907207553
319,319,102.59693034145812,2.963000675964354
320,320,102.03000392693056,2.9628002839856684
321,321,101.43776166787794,2.9621833951693093
322,322,100.85446993663996,2.961138817877817
323,323,100.25623045216759,2.9597115064959314
324,324,99.833017398512,2.958812048005852
325,325,99.0339609857398,2.957226489046978
326,326,98.56164082428322,2.956284104029061
327,327,97.82042316721403,2.9547872419595453
328,328,97.04603042821063,2.9532013198074183
329,329,96.2974135949918,2.9516405978366995
330,330,95.47810019798222,2.95011450328799
331,331,94.94581735408703,2.949351224488922
332,332,94.05844912144725,2.948411780909873
333,333,93.12542437340052,2.9473042830227
334,334,92.21199725344468,2.946211374339844
335,335,91.24849187791877,2.945043609755633
336,336,90.26447141365574,2.9438239115375624
337,337,89.24340029145611,2.9425281657833016
338,338,88.22921537171388,2.9412069364779567
339,339,87.19297194447412,2.9398246476080736
340,340,86.07889719858143,2.9383009369583397
341,341,84.91236395452941,2.9366632250133238
342,342,83.78190437060567,2.9350301308703
343,343,82.6675541292903,2.9333197668949276
344,344,81.5324037594347,2.9311839828620885
345,345,80.37227347588885,2.9283473450712814
346,346,79.19970479484853,2.9251333905457653
347,347,77.96799002249777,2.921528695852081
348,348,76.71642819474556,2.917634487990679
349,349,75.14886080963032,2.912512714673186
350,350,74.01173302535362,2.9086425456325418
351,351,72.7177468128523,2.9040811347633557
352,352,70.9696116223558,2.8976434829606754
353,353,69.66566095543067,2.8926240939176417
354,354,68.3950298146535,2.8875426361800205
355,355,66.7005016421295,2.8804535026755347
356,356,65.46451504067478,2.8750414544648115
357,357,63.69879240644014,2.8669297124204274
358,358,62.367289832245596,2.860495580681905
359,359,60.55392601569642,2.8512564265202234
360,360,59.226394159191464,2.844115981253856
361,361,57.41388925704013,2.8338052744277276
362,362,56.00053061068293,2.8252757180195927
363,363,54.16467862141958,2.813491121694008
364,364,52.79874875441679,2.804156662979865
365,365,50.96295167602,2.7907675398656244
366,366,49.16343197317569,2.7765983620068555
367,367,47.549897820062775,2.762905839417163
368,368,45.87427930310895,2.7475743302415627
369,369,44.10283555978757,2.729972836376719
370,370,42.5260887384644,2.712937559899683
371,371,41.321323713627145,2.6989412741061884
372,372,39.78042202805203,2.6796442436424783
373,373,38.26686871987665,2.658961484295561
374,374,37.12107011685789,2.642008456061985
375,375,35.63825005546376,2.618173054704361
376,376,34.2002335003588,2.5927071735217533
377,377,32.88063067450347,2.566961035983396
378,378,31.8693617192325,2.545448662156088
379,379,30.50053162848658,2.5134549260348193
380,380,29.26915729900655,2.481348228873049
381,381,28.399679345453762,2.45643461613576
382,382,27.349227588215868,2.4234166667292723
383,383,26.52328733906425,2.395323531772867
384,384,25.52409225306506,2.359972691993643
385,385,24.463472531810847,2.322074364925674
386,386,23.729399157071878,2.295940490839311
387,387,22.803896909206635,2.2633788513095037
388,388,21.904980748917236,2.2324513180393333
389,389,20.960498575294096,2.2008512977034154
390,390,20.328819830264457,2.1788483267378167
391,391,19.531587947495176,2.148836151223835
392,392,18.981404745342388,2.1265421518700385
393,393,18.284660763229155,2.0958898695520807
394,394,17.60992459835328,2.064036732875068
395,395,17.092709607114262,2.0396448131680582
396,396,16.288435048324846,2.0032617179953394
397,397,15.690491449965755,1.9773001444794627
398,398,15.086475019329514,1.9522452873766298
399,399,14.472877629212002,1.9281717777222167
400,400,13.896313651405361,1.9068622935051822
401,401,13.330118505274683,1.8871786960294417
402,402,12.794795411002045,1.8700689325010988
403,403,12.411355394003245,1.858891907665673
404,404,11.919879965180847,1.846305527256371
405,405,11.336634374235272,1.830484069773918
406,406,10.889285599324937,1.8161887842310527
407,407,10.564968843174649,1.8044646328804683
408,408,10.131828501961945,1.7877044804574753
409,409,9.591575372822485,1.7645932413590528
410,410,9.126425218088352,1.742333906721638
411,411,8.673482028969332,1.7197503116827704
412,412,8.186450476790412,1.6967022295964962
413,413,7.679838898902206,1.6769348358699596
414,414,7.131765349924922,1.6563113524713216
415,415,6.690738717926757,1.6403732893253848
416,416,5.942677412182159,1.61524089326154
417,417,5.315448949695094,1.5917724477611899
418,418,4.66305945296449,1.5558270997925283
419,419,3.8719534126634945,1.4944304852127828
420,420,3.2264063023009726,1.4201254071958431
421,421,2.5853180258214397,1.3045357555691637
422,422,1.9634958644709906,1.103405628829024
423,423,1.449423881668542,0.7489112499314272
424,424,1.2048916546934791,0.11945749214901923
425,425,1.3569918082633632,-0.37674668477990064
426,426,1.9397638069598917,-0.8212005516444782
427,427,2.760127902196539,-1.042518600244907
428,428,3.697472190763599,-1.1643633274406748
429,429,4.734122748199701,-1.2404367485845593
430,430,5.503529210433884,-1.277807870146352
431,431,6.597979463281005,-1.3156197828015792
432,432,7.741525871496402,-1.3435228597675448
433,433,8.907849867613821,-1.3645123310182072
434,434,10.069661376530878,-1.3805409862814118
435,435,11.188165198240865,-1.3928015245681902
436,436,12.20263110030805,-1.401963174025667
437,437,13.15281515448037,-1.4092507423536804
438,438,13.965635804713544,-1.4146919141195322
439,439,14.726292220600966,-1.4192326754380398
440,440,15.22537638828836,-1.4219637849829287
441,441,15.819719062924088,-1.4249882695205556
442,442,16.33483698235406,-1.4274289060870808
443,443,17.002618863897347,-1.4303716378497302
444,444,17.4975362144588,-1.432406953338132
445,445,17.989644356519594,-1.4343198934541084
446,446,18.352636791609044,-1.435664956373048
447,447,18.858326176236258,-1.4374528680686012
448,448,19.332505821310455,-1.4390434113185782
449,449,19.838649719205165,-1.44065779754316
450,450,20.492097769719827,-1.442622871818641
451,451,20.971032273166298,-1.4439863544007185
452,452,21.327821290628524,-1.4449623354199124
